Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/start_LD_0_start1,i_system_wrapper/system_i/format_9234_timestamp_0_out_0[63:0],i_system_wrapper/system_i/format_9234_timestamp_0_out_1[63:0],i_system_wrapper/system_i/format_9234_timestamp_0_waveform_0[11:0],i_system_wrapper/system_i/format_9234_timestamp_0_waveform_1[11:0],i_system_wrapper/system_i/format_9234_timestamp_0_o_ps_irq,i_system_wrapper/system_i/format_9234_timestamp_0_o_adc_valid_0,i_system_wrapper/system_i/format_9234_timestamp_0_o_adc_valid_1,i_system_wrapper/system_i/format_9234_timestamp_0_o_adc_enable_0,i_system_wrapper/system_i/format_9234_timestamp_0_o_adc_enable_1,i_system_wrapper/system_i/axi_ad9680_core_adc_data_0[63:0],i_system_wrapper/system_i/axi_ad9680_core_adc_data_1[63:0],i_system_wrapper/system_i/axi_ad9680_core_adc_valid_1,i_system_wrapper/system_i/axi_ad9680_core_adc_enable_1,i_system_wrapper/system_i/axi_ad9680_core_adc_valid_0,i_system_wrapper/system_i/axi_ad9680_core_adc_enable_0,i_system_wrapper/system_i/adc_fdb_1_1,i_system_wrapper/system_i/adc_fdb_1_2,i_system_wrapper/system_i/adc_fdb_1_3,i_system_wrapper/system_i/adc_fdb_1_4,i_system_wrapper/system_i/adc_fdb_1_5,i_system_wrapper/system_i/adc_fdb_1_6,i_system_wrapper/system_i/adc_fdb_1_7,i_system_wrapper/system_i/adc_fdb_1,i_system_wrapper/system_i/axi_ad9680_jesd_rx_data_tdata[127:0],i_system_wrapper/system_i/sysref_2,i_system_wrapper/system_i/axi_ad9680_jesd_sync,i_system_wrapper/system_i/adc_fda_1,i_system_wrapper/system_i/axi_ad9680_jesd_rx_data_tvalid,i_system_wrapper/system_i/axi_ad9680_jesd_rx_sof[3:0]
0,0,1,1,0,0,0,0,0,0,0,1,1,10133288142766112,3377704015233024,1,1,1,1,1,1,1,1,1,1,1,1,6040f0d00000ffff7070b0d000000000,0,1,1,1,f
1,1,0,1,0,0,0,0,0,0,0,1,1,16888687583297576,-3377699720003568,1,1,1,1,1,1,1,1,1,1,1,1,d0e0f020ffffff00e0c0907000000000,1,1,1,1,f
2,2,0,1,0,0,0,0,1,0,0,1,1,7881419609866292,6755472455303156,1,1,1,1,1,1,1,1,1,1,1,1,302080e0010100ff80c040e0ffff0000,1,1,1,1,f
3,3,0,1,0,0,0,0,1,0,0,1,1,15762804856586268,-3096254808850424,1,1,1,1,1,1,1,1,1,1,1,1,b0c0c0100000000110f0c08000ffffff,1,1,1,1,f
4,4,0,1,0,0,0,0,1,0,0,1,1,-8725792996458440,21392407469817848,1,1,1,1,1,1,1,1,1,1,1,1,6090f060ffffff004010901001010000,1,1,1,1,f
5,5,0,1,0,0,0,0,1,0,0,1,1,1407361997668320,12385105136844868,1,1,1,1,1,1,1,1,1,1,1,1,60b0a080ffffffff40f0004001000101,1,1,1,1,f
6,6,0,1,0,0,0,0,1,0,0,1,1,22518290196987908,-10977640056094696,1,1,1,1,1,1,1,1,1,1,1,1,f0803010fffffffff050b0a000010101,1,1,1,1,f
7,7,0,0,0,0,-5,8,1,1,1,1,1,22518255839084624,-10977605697601568,1,1,1,1,1,1,1,1,1,1,1,1,f0d0d0e0ffffffff00e0e0c001000000,1,1,1,1,f
8,8,0,0,-7881419609866293,6755472455303156,3,18,1,1,1,1,1,16888859386970216,-844558077460540,1,1,1,1,1,1,1,1,1,1,1,1,f0f0c0c0ffffffffe0e000e000000100,1,1,1,1,f
9,9,0,0,1,1,7,19,1,1,1,1,1,18014639031320624,-844472175493128,1,1,1,1,1,1,1,1,1,1,1,1,60a0f000ffffff0060f0c0a001000000,1,1,1,1,f
10,10,0,0,-15762804856586269,-3096254808850424,7,17,1,1,1,1,1,15762839218159672,-844437816016912,1,1,1,1,1,1,1,1,1,1,1,1,d0000020feffffffc0b080a001010101,1,1,1,1,f
11,11,0,0,2,2,3,12,1,1,1,1,1,24770055651721256,-10977622876225536,1,1,1,1,1,1,1,1,1,1,1,1,60f0b0c0fffefefe90e0001001010202,1,1,1,1,f
12,12,0,0,8725792996458439,21392407469817848,0,12,1,1,1,1,1,31525661254353000,-21110893840367672,1,1,1,1,1,1,1,1,1,1,1,1,60b0d0a0ffffffff30e0c02001000001,1,1,1,1,f
13,13,0,0,3,3,-2,11,1,1,1,1,1,28148013075529860,-10977811859963984,1,1,1,1,1,1,1,1,1,1,1,1,5010e0f0fffffefe80d0d08001010101,1,1,1,1,f
14,14,0,0,-1407361997668321,12385105136844868,-2,6,1,1,1,1,1,21392338751324232,-10977605696815128,1,1,1,1,1,1,1,1,1,1,1,1,90f050c0010000ff50f09010ffff0001,1,1,1,1,f
15,15,0,0,4,4,-10,-1,1,1,1,1,1,27022095988031584,-12103677406281796,1,1,1,1,1,1,1,1,1,1,1,1,103020c0ff000101203040000100ffff,1,1,1,1,f
16,16,0,0,-22518290196987909,-10977640056094696,-18,-7,1,1,1,1,1,-12103441176068028,28147755370479600,1,1,1,1,1,1,1,1,1,1,1,1,f0a09020fdfdfdfef030e04002030202,1,1,1,1,f
17,17,0,0,5,5,-21,-10,1,1,1,1,1,20266254154661824,-16888447058313104,1,1,1,1,1,1,1,1,1,1,1,1,806030e0fefefefd304090c002020202,0,1,1,1,f
18,18,0,0,-22518255839084625,-10977605697601568,-21,-8,1,1,1,1,1,52918171806990480,-36873870499315832,1,1,1,1,1,1,1,1,1,1,1,1,50607070fefefefe6030404002020202,0,1,1,1,f
19,19,0,0,6,6,-17,-6,1,1,1,1,1,39407115225530544,-26740565176680584,1,1,1,1,1,1,1,1,1,1,1,1,a0502010fefefefe4070a07002020202,0,1,1,1,f
20,20,0,0,-16888859386970217,-844558077460540,-16,-5,1,1,1,1,1,42784797764878480,-30118264896159844,1,1,1,1,1,1,1,1,1,1,1,1,00e01080fefdfefed0b0704002020202,0,1,1,1,f
21,21,0,0,7,7,-21,-10,1,1,1,1,1,40533066672242844,-24488782543126652,1,1,1,1,1,1,1,1,1,1,1,1,a060c0c00000fffe3090302000000102,0,1,1,1,f
22,22,0,0,-18014639031320625,-844472175493128,-27,-15,1,1,1,1,1,50666234552516752,-35747901870899296,1,1,1,1,1,1,1,1,1,1,1,1,70c02060ffff000040b0803001000000,0,1,1,1,f
23,23,0,0,8,8,-28,-13,1,1,1,1,1,3377854344331400,11259106441625520,1,1,1,1,1,1,1,1,1,1,1,1,d0702050ffffffff2090908001010101,0,1,1,1,f
24,24,0,0,-15762839218159673,-844437816016912,-22,-8,1,1,1,1,1,22518187117510668,-9851692903825384,1,1,1,1,1,1,1,1,1,1,1,1,5080c0f0ffffffff7010e0d001010000,0,1,1,1,f
25,25,0,0,9,9,-16,-1,1,1,1,1,1,20266627826450528,-3096375071277100,1,1,1,1,1,1,1,1,1,1,1,1,c0c020c0fdfdfefe00f070c003020201,0,1,1,1,f
26,26,0,0,-24770055651721257,-10977622876225536,-13,-2,1,1,1,1,1,25895989918826548,-12103557143527428,1,1,1,1,1,1,1,1,1,1,1,1,2030c040fffffefea0c010b001010202,0,1,1,1,f
27,27,0,0,10,10,-15,-3,1,1,1,1,1,54044002992521328,-40251535857746000,1,1,1,1,1,1,1,1,1,1,1,1,d02060e0fdfefefef09000d002020201,0,1,1,1,f
28,28,0,0,-31525661254353001,-21110893840367672,-15,-3,1,1,1,1,1,29273878622896300,-15481342767595632,1,1,1,1,1,1,1,1,1,1,1,1,90c020b0fffefefd8050e02001020203,0,1,1,1,f
29,29,0,0,11,11,-17,-1,1,1,1,1,1,52918000004628596,-39125532870639688,1,1,1,1,1,1,1,1,1,1,1,1,c0f0e08000000000e0e010a0ffff0000,0,1,1,1,f
30,30,0,0,-28148013075529861,-10977811859963984,-15,-4,1,1,1,1,1,27022233431441608,-7600163681403028,1,1,1,1,1,1,1,1,1,1,1,1,70707080000000004060400000000000,0,1,1,1,f
31,31,0,0,12,12,-17,-4,1,1,1,1,1,-1970359196450776,13511056583819296,1,1,1,1,1,1,1,1,1,1,1,1,50d0e04000ffff00a010c07000010000,0,1,1,1,f
