Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/axi_ad9680_jesd/phy_data[127:0],i_system_wrapper/system_i/axi_ad9680_jesd/rx_rx_ilas_config_addr[7:0],rx_sync,rx_sysref
0,0,0,92eec822a61831846afba4f4d5b959b4,00,1,0
1,1,0,8d834d47fce8d5536579becb0f7afd94,00,1,0
2,2,0,75461e19362c0972ee118da7cd48221c,00,1,0
3,3,0,1d9e0db5b573b6e8021bb7a4edafadb2,00,1,0
4,4,0,42196f7486f5be2920fedf8a69416ce0,00,1,0
5,5,0,0f619d677b8e143dbc2812d43e137587,00,1,0
6,6,0,48d413565ede1a25c01b68331f7f856a,00,1,0
7,7,0,7d5592e9979cc6c539b153988c0d4202,00,1,0
8,8,0,bbb23ccf29bb734b40e55766f2ee282d,00,1,0
9,9,0,85b1b9bf3f5ef59a3993539fef542d66,00,1,0
10,10,0,2e2e0d85039b80c4380d54da401d60fa,00,1,0
11,11,0,a7bac6c438dc0b5a48f5438e05a1814f,00,1,0
12,12,0,0600f18f6fb392c82ed352ff4b941cc6,00,1,0
13,13,0,8af0342044fb61ab583c342a9a15bb79,00,1,1
14,14,0,480b7c035159981bd6360159ce0f5d7d,00,1,1
15,15,0,42d9902b5af0e4d74ce54576dac3a420,00,1,1
16,16,0,c571aee7cac4dc217fa34aefc232df88,00,1,1
17,17,0,a56bbe14835fbf9a5ed8c20b20e78fae,00,1,1
18,18,0,2194ff49338608c1aba6141184eec152,00,1,1
19,19,0,10f2f758fd7baa143ed22a0757521967,00,1,1
20,20,0,b039400c25500e185959442c216cf0ed,00,1,1
21,21,0,28fd83a5c942dce016c236179372c768,00,1,1
22,22,0,c3b6d03ebe27b58e7f7bb55c7ee36a2f,00,1,1
23,23,0,9767b99616e586d17169b0cb1dba054b,00,1,1
24,24,0,d9b753413cc5755e9e10e5a7af494d9c,00,1,1
25,25,0,7e12e5803b478b9eb20997b345bce1b5,00,1,1
26,26,0,ad9e354d576f9992d6ef7ef54e359d89,00,1,1
27,27,0,8370cf672b48f363737037b0d181a7bf,00,1,1
28,28,0,1f8a1a3315a2f9b082e598f1541ae604,00,1,1
29,29,0,6c09620c0ba97ccc719ccf9d14ccf95d,00,1,0
30,30,0,a2e34827903438f68e34e5a918f17ba8,00,1,0
31,31,0,dcf4dd59499b63bb9cc8e57be2d55026,00,1,0
32,32,0,314ef81ab0d9b75b83b99803a4094efc,00,1,0
33,33,0,5e0b9584cefda2d50c1cda25d3bcd835,00,1,0
34,34,0,0978f41bd82ba40c78e2cb88763ee98a,00,1,0
35,35,0,f6d02620ec12d2f85fbcd2fdb21e3785,00,1,0
36,36,0,30dc07a27765696ecc260239ed91ad47,00,1,0
37,37,0,4d6392e8a8c2335f83b4181663596f64,00,1,0
38,38,0,9199bf5b2a20f38f6ef8ca0bb2f348d7,00,1,0
39,39,0,b22f47750782fec06435b6c1eaf5ac29,00,1,0
40,40,0,60e59fa16c28120ce4d1997f0b897c3c,00,1,0
41,41,0,6583614f7c276af1f63b89549fb43a36,00,1,0
42,42,0,36db7e2b3eea0ad38e02f558859b41bb,00,1,0
43,43,0,242f86fa1e0b857c4340c7bf40d61f59,00,1,0
44,44,0,3edefad29b9d443a7b574b410c3d82f5,00,1,0
45,45,0,f56ba6e4d9af5b4d1b48db43fa242b8e,00,1,1
46,46,0,70e01f58f942d4e098f39b7046dc1eda,00,1,1
47,47,0,b76631617e24158ea8e4e38977b596c9,00,1,1
48,48,0,7a11937716d606d908ea239ba58231bf,00,1,1
49,49,0,ddb22d57343976f48b4af3bcc420de0f,00,1,1
50,50,0,2e06fd8e9b77bb9639b0db7f5f8f9ac2,00,1,1
51,51,0,bb9ac424dfa75a31418147708ec8c223,00,1,1
52,52,0,fa30db7f82e2c0d04e0345b7d1aa27b3,00,1,1
53,53,0,f22c2f822da20d4f857b66cb5806e4fe,00,1,1
54,54,0,678c1eca6baaeccc2804dcc9e17cd015,00,1,1
55,55,0,ad774219100f78fd1c0022d8943d460a,00,1,1
56,56,0,9544ce0142cd60228c239ad01a2f7b8d,00,1,1
57,57,0,5ccb6dab20e18fafa384e819c54d5ee2,00,1,1
58,58,0,ea08db8b8596c146300a28cb4ceb9dac,00,1,1
59,59,0,bf7d4d6242321f7758e9438cf619a97b,00,1,1
60,60,0,eedda22d20ed8fad6a1233a7bcf83554,00,1,1
61,61,0,041976fc8766c16e556dbedd31698813,00,1,0
62,62,0,1764096668f213574f523dafd237a776,00,1,0
63,63,0,b991434822ef702dac3f622d61a2efb0,00,1,0
64,64,0,822db775af4ecd62517638319baf44cd,00,1,0
65,65,0,779e1ecd44d0e1a70afe24f5d14758e1,00,1,0
66,66,0,4b7e13655d459ae1c42afec45f62e590,00,1,0
67,67,0,1d6d8a15af40cd9f1155583e89acc34d,00,1,0
68,68,0,51b56f4e4608e1836427a62eb97a34eb,00,1,0
69,69,0,bda0c5bf7ba59431b3b998037541961f,00,1,0
70,70,0,9958cce352c218df8c1e1a258e123d87,00,1,0
71,71,0,bbbb44c3622cef8db8d0eb87df62256f,00,1,0
72,72,0,d585a9b9a5774ee9400b402389a6c34e,00,1,0
73,73,0,f56ade0cc7a4de316fbb42ebbaf234d7,00,1,0
74,74,0,60e40f5e62df90da2a09a34b4ae19c2f,00,1,0
75,75,0,d7675169a78b4ec341b43f868d91bd47,00,1,0
76,76,0,69b2e340ef94d239b1a76779e35e2f65,00,1,0
77,77,0,de3f558d4a1d637a97b76611b39548c6,00,1,1
78,78,0,7342e7908da1bd4f68c5b371fa0dab7d,00,1,1
79,79,0,677e199deb9e2cc51021a02f4ae81c2c,00,1,1
80,80,0,4ece122519957b4622d6d0068e25bd71,00,1,1
81,81,0,520d8785f205577e89781c34d6ce26dd,00,1,1
82,82,0,8f50cd6fe9482c1cc83984c330d6f7a6,00,1,1
83,83,0,23ba00c33dad75b285896164cc3ba2f4,00,1,1
